[14.122247696] 2019-11-10 15:47:50,584 - INFO - launcher: Starting sanity checks
[14.498472214] 2019-11-10 15:47:50,584 - INFO - launcher: Checking for python 3.5+
[14.725446701] 2019-11-10 15:47:50,585 - INFO - launcher: Checking console encoding
[14.950275421] 2019-11-10 15:47:50,585 - INFO - launcher: Ensuring we're in the right folder
[15.424489975] 2019-11-10 15:47:50,585 - INFO - launcher: Checks passed.
[15.666484833] 2019-11-10 15:47:50,586 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[3.3812611103057861] 2019-11-10 15:47:53,951 - INFO - musicbot.bot | In bot.py::MainThread(140410628687680), line 620 in _join_startup_channels: Found owner in "Propreantepenultimate"
[3.3816223144531250] 2019-11-10 15:47:53,952 - INFO - musicbot.bot | In bot.py::MainThread(140410628687680), line 636 in _join_startup_channels: Attempting to join Catch The Rainbow!/Propreantepenultimate
[3.4728198051452637] 2019-11-10 15:47:54,043 - INFO - musicbot.bot | In bot.py::MainThread(140410628687680), line 652 in _join_startup_channels: Joined Catch The Rainbow!/Propreantepenultimate
[3.4733021259307861] 2019-11-10 15:47:54,043 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 889 in on_player_finished_playing: Running on_player_finished_playing
[3.4737892150878906] 2019-11-10 15:47:54,044 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 915 in on_player_finished_playing: People: [<Member id=181268300301336576 name='Jadedtdt' discriminator='2063' bot=False nick='bhidu :)' guild=<Guild id=138532599181213696 name='Catch The Rainbow!' shard_id=None chunked=True member_count=75>>, <Member id=245028070996574209 name='Cryss' discriminator='9012' bot=False nick='#saveumpi' guild=<Guild id=138532599181213696 name='Catch The Rainbow!' shard_id=None chunked=True member_count=75>>]
[3.4742720127105713] 2019-11-10 15:47:54,044 - DEBUG - musicbot.bot | In bot.py::MainThread(140410628687680), line 944 in on_player_finished_playing: Cryss#9012
[3.4928081035614014] 2019-11-10 15:47:54,063 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 440 in user_read: [SQL] [USER] SELECT * FROM USER WHERE ID = %s
[3.4933581352233887] 2019-11-10 15:47:54,063 - DEBUG - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 442 in user_read: [VALUES] [USER] ('245028070996574209',)
[3.4947400093078613] 2019-11-10 15:47:54,065 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 53 in _execute: Using adhoc execute, logging for auditing purposes
[3.4950976371765137] 2019-11-10 15:47:54,065 - INFO - musicbot.sqlfactory | In sqlfactory.py::MainThread(140410628687680), line 54 in _execute: Query: SELECT SONG.* FROM SONG INNER JOIN USER_SONG ON USER_SONG.URL = SONG.URL WHERE USER_SONG.ID = %s, Params: ['245028070996574209']
